INPUT_TABLE,,,,,,,,,,
Variable ID,,,,,,,,,,
GlobalIntTechBackup,,,,,,,,,,
,,,,,,,,,,
sector.name,subsector.name,technology,year,electric.sector.name,trial.market.name,backup.capital.cost,backup.capacity.factor,capacity.limit,minicam.energy.input,minicam.non.energy.input
electricity,offshore wind,offshore wind 2,1975,electricity,renewable,36,0.05,0.35,backup_electricity,backup-cap-cost
electricity,offshore wind,offshore wind 2,1990,electricity,renewable,36,0.05,0.35,backup_electricity,backup-cap-cost
electricity,offshore wind,offshore wind 2,2005,electricity,renewable,36,0.05,0.35,backup_electricity,backup-cap-cost
electricity,offshore wind,offshore wind 2,2010,electricity,renewable,36,0.05,0.35,backup_electricity,backup-cap-cost
electricity,offshore wind,offshore wind 2,2015,electricity,renewable,36,0.05,0.35,backup_electricity,backup-cap-cost
electricity,offshore wind,offshore wind 2,2020,electricity,renewable,36,0.05,0.35,backup_electricity,backup-cap-cost
electricity,offshore wind,offshore wind 2,2025,electricity,renewable,36,0.05,0.35,backup_electricity,backup-cap-cost
electricity,offshore wind,offshore wind 2,2030,electricity,renewable,36,0.05,0.35,backup_electricity,backup-cap-cost
electricity,offshore wind,offshore wind 2,2035,electricity,renewable,36,0.05,0.35,backup_electricity,backup-cap-cost
electricity,offshore wind,offshore wind 2,2040,electricity,renewable,36,0.05,0.35,backup_electricity,backup-cap-cost
electricity,offshore wind,offshore wind 2,2045,electricity,renewable,36,0.05,0.35,backup_electricity,backup-cap-cost
electricity,offshore wind,offshore wind 2,2050,electricity,renewable,36,0.05,0.35,backup_electricity,backup-cap-cost
electricity,offshore wind,offshore wind 2,2055,electricity,renewable,36,0.05,0.35,backup_electricity,backup-cap-cost
electricity,offshore wind,offshore wind 2,2060,electricity,renewable,36,0.05,0.35,backup_electricity,backup-cap-cost
electricity,offshore wind,offshore wind 2,2065,electricity,renewable,36,0.05,0.35,backup_electricity,backup-cap-cost
electricity,offshore wind,offshore wind 2,2070,electricity,renewable,36,0.05,0.35,backup_electricity,backup-cap-cost
electricity,offshore wind,offshore wind 2,2075,electricity,renewable,36,0.05,0.35,backup_electricity,backup-cap-cost
electricity,offshore wind,offshore wind 2,2080,electricity,renewable,36,0.05,0.35,backup_electricity,backup-cap-cost
electricity,offshore wind,offshore wind 2,2085,electricity,renewable,36,0.05,0.35,backup_electricity,backup-cap-cost
electricity,offshore wind,offshore wind 2,2090,electricity,renewable,36,0.05,0.35,backup_electricity,backup-cap-cost
electricity,offshore wind,offshore wind 2,2095,electricity,renewable,36,0.05,0.35,backup_electricity,backup-cap-cost
electricity,offshore wind,offshore wind 2,2100,electricity,renewable,36,0.05,0.35,backup_electricity,backup-cap-cost
