INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
GlobalIntTechCapital,,,,,,,
,,,,,,,
sector.name,subsector.name,intermittent.technology,year,input.capital,capital.overnight,fixed.charge.rate,capacity.factor
electricity,offshore wind,offshore wind 1,1975,capital,1207.0411,0.13,0.270515056
electricity,offshore wind,offshore wind 1,1990,capital,1207.0411,0.13,0.270515056
electricity,offshore wind,offshore wind 1,2005,capital,1207.0411,0.13,0.270515056
electricity,offshore wind,offshore wind 1,2010,capital,1207.0411,0.13,0.270515056
electricity,offshore wind,offshore wind 1,2015,capital,1207.0411,0.13,0.270515056
electricity,offshore wind,offshore wind 1,2020,capital,1154.476407,0.13,0.270515056
electricity,offshore wind,offshore wind 1,2025,capital,1111.645917,0.13,0.270515056
electricity,offshore wind,offshore wind 1,2030,capital,1072.709107,0.13,0.270515056
electricity,offshore wind,offshore wind 1,2035,capital,1041.559659,0.13,0.270515056
electricity,offshore wind,offshore wind 1,2040,capital,1014.303892,0.13,0.270515056
electricity,offshore wind,offshore wind 1,2045,capital,988.9949661,0.13,0.270515056
electricity,offshore wind,offshore wind 1,2050,capital,969.5265612,0.13,0.270515056
electricity,offshore wind,offshore wind 1,2055,capital,952.0049968,0.13,0.270515056
electricity,offshore wind,offshore wind 1,2060,capital,936.430273,0.13,0.270515056
electricity,offshore wind,offshore wind 1,2065,capital,922.8023896,0.13,0.270515056
electricity,offshore wind,offshore wind 1,2070,capital,913.0681872,0.13,0.270515056
electricity,offshore wind,offshore wind 1,2075,capital,903.3339847,0.13,0.270515056
electricity,offshore wind,offshore wind 1,2080,capital,893.5997823,0.13,0.270515056
electricity,offshore wind,offshore wind 1,2085,capital,887.7592609,0.13,0.270515056
electricity,offshore wind,offshore wind 1,2090,capital,881.9187394,0.13,0.270515056
electricity,offshore wind,offshore wind 1,2095,capital,876.078218,0.13,0.270515056
electricity,offshore wind,offshore wind 1,2100,capital,872.184537,0.13,0.270515056
