# File: A_rsrc.csv,,,,
# Description: sets the characteristics and supply curves of the non-modeled inputs to animal production,,,,
# Original source: NA,,,,
# ----------,,,,
renewresource,sub-renewable-resource,grade,available,extractioncost
OtherMeat_Fish,OtherMeat_Fish,grade 1,0,0
Residue,Residue,grade 1,0,0
Scavenging_Other_Rsrc,Scavenging_Other,grade 1,0,0
OtherMeat_Fish,OtherMeat_Fish,grade 2,1,1
Residue,Residue,grade 2,1,0.002
Scavenging_Other_Rsrc,Scavenging_Other,grade 2,1,0.002
OtherMeat_Fish,OtherMeat_Fish,grade 3,1.1,5
Residue,Residue,grade 3,1.1,1
Scavenging_Other_Rsrc,Scavenging_Other,grade 3,1.1,1
