# File: A53.USA_elec_gen_CCS_EFs_water.csv
# Title: Emission factors (EFs) for carbon capture and storage (CCS) electric generation technologies
# Units: kt/PJ
# Source: Emission factors are calculated from sources as noted
# Description: Global emission factors for electric generation technologies with CCS. NSPS must start in future model periods.
# Column types: ccccccnnnnnnnnc
# ---------
region,supplysector,nesting.subsector,subsector,stub.technology,Non.CO2,pcGDP_start_NSPS,NSPS_start_year,NSPS_em_coeff,pcGDP_start_retrofit,retrofit_start_year,retrofit_time,retrofit_vintage,retrofit_em_coeff,Notes and sources
All states,intermediate generation,coal,coal_int_conv pul_CCS,coal (conv pul CCS) (dry cooling),PM2.5,NA,2025,0.003869288,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,intermediate generation,coal,coal_int_conv pul_CCS,coal (conv pul CCS) (once through),BC,NA,2025,0.000158641,NA,NA,NA,NA,NA,"BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using Bond et al (Table 5); hard coal, pulverized"
All states,intermediate generation,coal,coal_int_conv pul_CCS,coal (conv pul CCS) (seawater),BC,NA,2025,0.000158641,NA,NA,NA,NA,NA,"BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using Bond et al (Table 5); hard coal, pulverized"
All states,intermediate generation,coal,coal_int_conv pul_CCS,coal (conv pul CCS) (recirculating),BC,NA,2025,0.000158641,NA,NA,NA,NA,NA,"BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using Bond et al (Table 5); hard coal, pulverized"
All states,intermediate generation,coal,coal_int_conv pul_CCS,coal (conv pul CCS) (dry cooling),BC,NA,2025,0.000158641,NA,NA,NA,NA,NA,"BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using Bond et al (Table 5); hard coal, pulverized"
All states,intermediate generation,coal,coal_int_conv pul_CCS,coal (conv pul CCS) (once through),OC,NA,2025,0.00019,NA,NA,NA,NA,NA,"BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using Bond et al (Table 5); hard coal, pulverized"
All states,intermediate generation,coal,coal_int_conv pul_CCS,coal (conv pul CCS) (seawater),OC,NA,2025,0.00019,NA,NA,NA,NA,NA,"BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using Bond et al (Table 5); hard coal, pulverized"
All states,intermediate generation,coal,coal_int_conv pul_CCS,coal (conv pul CCS) (recirculating),OC,NA,2025,0.00019,NA,NA,NA,NA,NA,"BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using Bond et al (Table 5); hard coal, pulverized"
All states,intermediate generation,coal,coal_int_conv pul_CCS,coal (conv pul CCS) (dry cooling),OC,NA,2025,0.00019,NA,NA,NA,NA,NA,"BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using Bond et al (Table 5); hard coal, pulverized"
All states,intermediate generation,coal,coal_int_conv pul_CCS,coal (conv pul CCS) (once through),CO,NA,2025,0.025,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All states,intermediate generation,coal,coal_int_conv pul_CCS,coal (conv pul CCS) (seawater),CO,NA,2025,0.025,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All states,intermediate generation,coal,coal_int_conv pul_CCS,coal (conv pul CCS) (recirculating),CO,NA,2025,0.025,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All states,intermediate generation,coal,coal_int_conv pul_CCS,coal (conv pul CCS) (dry cooling),CO,NA,2025,0.025,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All states,intermediate generation,coal,coal_int_conv pul_CCS,coal (conv pul CCS) (once through),NMVOC,NA,2025,0.00056,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All states,intermediate generation,coal,coal_int_conv pul_CCS,coal (conv pul CCS) (seawater),NMVOC,NA,2025,0.00056,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All states,intermediate generation,coal,coal_int_conv pul_CCS,coal (conv pul CCS) (recirculating),NMVOC,NA,2025,0.00056,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All states,intermediate generation,coal,coal_int_conv pul_CCS,coal (conv pul CCS) (dry cooling),NMVOC,NA,2025,0.00056,NA,NA,NA,NA,NA,"CO and VOC (table 6, using GREET value): https://publications.anl.gov/anlpubs/2020/09/162084.pdf"
All states,base load generation,coal,coal_base_IGCC_CCS,coal (IGCC CCS) (once through),SO2_1,NA,2025,0,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,base load generation,coal,coal_base_IGCC_CCS,coal (IGCC CCS) (seawater),SO2_1,NA,2025,0,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,base load generation,coal,coal_base_IGCC_CCS,coal (IGCC CCS) (recirculating),SO2_1,NA,2025,0,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,base load generation,coal,coal_base_IGCC_CCS,coal (IGCC CCS) (dry cooling),SO2_1,NA,2025,0,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,base load generation,coal,coal_base_IGCC_CCS,coal (IGCC CCS) (once through),NOx,NA,2025,0.021066125,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,base load generation,coal,coal_base_IGCC_CCS,coal (IGCC CCS) (seawater),NOx,NA,2025,0.021066125,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,base load generation,coal,coal_base_IGCC_CCS,coal (IGCC CCS) (recirculating),NOx,NA,2025,0.021066125,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,base load generation,coal,coal_base_IGCC_CCS,coal (IGCC CCS) (dry cooling),NOx,NA,2025,0.021066125,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,base load generation,coal,coal_base_IGCC_CCS,coal (IGCC CCS) (once through),PM10,NA,2025,0.003009446,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,base load generation,coal,coal_base_IGCC_CCS,coal (IGCC CCS) (seawater),PM10,NA,2025,0.003009446,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,base load generation,coal,coal_base_IGCC_CCS,coal (IGCC CCS) (recirculating),PM10,NA,2025,0.003009446,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,base load generation,coal,coal_base_IGCC_CCS,coal (IGCC CCS) (dry cooling),PM10,NA,2025,0.003009446,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,base load generation,coal,coal_base_IGCC_CCS,coal (IGCC CCS) (once through),PM2.5,NA,2025,0.003009446,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,base load generation,coal,coal_base_IGCC_CCS,coal (IGCC CCS) (seawater),PM2.5,NA,2025,0.003009446,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,base load generation,coal,coal_base_IGCC_CCS,coal (IGCC CCS) (recirculating),PM2.5,NA,2025,0.003009446,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,base load generation,coal,coal_base_IGCC_CCS,coal (IGCC CCS) (dry cooling),PM2.5,NA,2025,0.003009446,NA,NA,NA,NA,NA,"SO2, Nox, and PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf"
All states,base load generation,coal,coal_base_IGCC_CCS,coal (IGCC CCS) (once through),BC,NA,2025,0.000123388,NA,NA,NA,NA,NA,"BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using Bond et al (Table 5); hard coal, pulverized"
All states,base load generation,coal,coal_base_IGCC_CCS,coal (IGCC CCS) (seawater),BC,NA,2025,0.000123388,NA,NA,NA,NA,NA,"BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using Bond et al (Table 5); hard coal, pulverized"
All states,base load generation,coal,coal_base_IGCC_CCS,coal (IGCC CCS) (recirculating),BC,NA,2025,0.000123388,NA,NA,NA,NA,NA,"BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using Bond et al (Table 5); hard coal, pulverized"
All states,base load generation,coal,coal_base_IGCC_CCS,coal (IGCC CCS) (dry cooling),BC,NA,2025,0.000123388,NA,NA,NA,NA,NA,"BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using Bond et al (Table 5); hard coal, pulverized"
All states,base load generation,coal,coal_base_IGCC_CCS,coal (IGCC CCS) (once through),OC,NA,2025,0.000147463,NA,NA,NA,NA,NA,"BC and OC derived from PM from https://netl.doe.gov/projects/files/CostAndPerformanceBaselineForFossilEnergyPlantsVolume1BituminousCoalAndNaturalGasToElectricity_101422.pdf using Bond et al (Table 5); hard coal, pulverized"
