# File: GTAP_ag_HA_ha.csv,,,,,,,,,,,,,,,,,,,
# Author: Page Kyle,,,,,,,,,,,,,,,,,,,
# Description: GTAP v2.1 Harvested area by country /  crop / and AEZ,,,,,,,,,,,,,,,,,,,
# Original source: aglu-data/RawData/GTAP/SAGE_DATA.xls [SGHA],,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,
ctry,GTAP_crop,AEZ01,AEZ02,AEZ03,AEZ04,AEZ05,AEZ06,AEZ07,AEZ08,AEZ09,AEZ10,AEZ11,AEZ12,AEZ13,AEZ14,AEZ15,AEZ16,AEZ17,AEZ18
abw,Barley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,Buckwheat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,CanarySeed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,Cerealsnes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,Fonio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,Maize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,Millet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,MixedGrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,Oats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,PopCorn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,Quinoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,PaddyRice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,Rye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,Sorghum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,Triticale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,Wheat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,Abaca_M_H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,AgaveFibrNES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,Coir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abw,FibreCropNES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
