INPUT_TABLE
Variable ID
TechInput

region,supplysector,subsector,technology,apply.to,from.year,to.year,interpolation.function,CO2,share.weight,minicam.energy.input,coefficient,input.cost
USA,NonFoodDemand_Crops,OtherGrain,OtherGrain,share-weight,2005,9999,fixed,CO2,1,OtherGrain,1,0
USA,NonFoodDemand_Crops,PalmFruit,PalmFruit,share-weight,2005,9999,fixed,CO2,1,PalmFruit,1,0
USA,NonFoodDemand_Crops,Rice,Rice,share-weight,2005,9999,fixed,CO2,1,Rice,1,0
USA,NonFoodDemand_Crops,Root_Tuber,Root_Tuber,share-weight,2005,9999,fixed,CO2,1,Root_Tuber,1,0
USA,NonFoodDemand_Crops,SugarCrop,SugarCrop,share-weight,2005,9999,fixed,CO2,1,SugarCrop,1,0
USA,NonFoodDemand_Crops,Wheat,Wheat,share-weight,2005,9999,fixed,CO2,1,Wheat,1,0
USA,NonFoodDemand_Meat,Beef,Beef,share-weight,2005,9999,fixed,CO2,1,Beef,1,0
USA,NonFoodDemand_Meat,Dairy,Dairy,share-weight,2005,9999,fixed,CO2,1,Dairy,1,0
USA,NonFoodDemand_Meat,Pork,Pork,share-weight,2005,9999,fixed,CO2,1,Pork,1,0
USA,NonFoodDemand_Meat,Poultry,Poultry,share-weight,2005,9999,fixed,CO2,1,Poultry,1,0
USA,NonFoodDemand_Meat,SheepGoat,SheepGoat,share-weight,2005,9999,fixed,CO2,1,SheepGoat,1,0
USA,NonFoodDemand_Meat,OtherMeat_Fish,OtherMeat_Fish,share-weight,2005,9999,fixed,CO2,1,OtherMeat_Fish,1,0
USA,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,share-weight,2005,9999,fixed,CO2,1,Forest,1,0
Western Europe,NonFoodDemand_Crops,Corn,Corn,share-weight,2005,9999,fixed,CO2,1,Corn,1,0
Western Europe,NonFoodDemand_Crops,FiberCrop,FiberCrop,share-weight,2005,9999,fixed,CO2,1,FiberCrop,1,0
Western Europe,NonFoodDemand_Crops,FodderHerb,FodderHerb,share-weight,2005,9999,fixed,CO2,1,FodderHerb,1,0
Western Europe,NonFoodDemand_Crops,MiscCrop,MiscCrop,share-weight,2005,9999,fixed,CO2,1,MiscCrop,1,0
Western Europe,NonFoodDemand_Crops,OilCrop,OilCrop,share-weight,2005,9999,fixed,CO2,1,OilCrop,1,0
Western Europe,NonFoodDemand_Crops,OtherGrain,OtherGrain,share-weight,2005,9999,fixed,CO2,1,OtherGrain,1,0
Western Europe,NonFoodDemand_Crops,PalmFruit,PalmFruit,share-weight,2005,9999,fixed,CO2,1,PalmFruit,1,0
Western Europe,NonFoodDemand_Crops,Rice,Rice,share-weight,2005,9999,fixed,CO2,1,Rice,1,0
Western Europe,NonFoodDemand_Crops,Root_Tuber,Root_Tuber,share-weight,2005,9999,fixed,CO2,1,Root_Tuber,1,0
Western Europe,NonFoodDemand_Crops,SugarCrop,SugarCrop,share-weight,2005,9999,fixed,CO2,1,SugarCrop,1,0
Western Europe,NonFoodDemand_Crops,Wheat,Wheat,share-weight,2005,9999,fixed,CO2,1,Wheat,1,0
Western Europe,NonFoodDemand_Meat,Beef,Beef,share-weight,2005,9999,fixed,CO2,1,Beef,1,0
Western Europe,NonFoodDemand_Meat,Dairy,Dairy,share-weight,2005,9999,fixed,CO2,1,Dairy,1,0
Western Europe,NonFoodDemand_Meat,Pork,Pork,share-weight,2005,9999,fixed,CO2,1,Pork,1,0
Western Europe,NonFoodDemand_Meat,Poultry,Poultry,share-weight,2005,9999,fixed,CO2,1,Poultry,1,0
Western Europe,NonFoodDemand_Meat,SheepGoat,SheepGoat,share-weight,2005,9999,fixed,CO2,1,SheepGoat,1,0
Western Europe,NonFoodDemand_Meat,OtherMeat_Fish,OtherMeat_Fish,share-weight,2005,9999,fixed,CO2,1,OtherMeat_Fish,1,0
Western Europe,NonFoodDemand_Forest,NonFoodDemand_Forest,NonFoodDemand_Forest,share-weight,2005,9999,fixed,CO2,1,Forest,1,0
