# File: A23.india_re_technical_potential.csv
# Title: India Renewable Energy Technical Potential
# Source:  Check for India
# Units: In column names
# Report Table Number-->,Table 2,Table 3, Table 4, Table 5, Table 6, Table 7, Table 8, Table 9, Table 10, Table 11
# Column types: cnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
State,Urban_Utility_scale_PV_GWh,Urban_Utility_scale_PV_GW,Urban_Utility_scale_PV_km2,Rural_Utility_scale_PV_GWh,Rural_Utility_scale_PV_GW,Rural_Utility_scale_PV_km2,Rooftop_PV_GWh,Rooftop_PV_GW,CSP_GWh,CSP_GW,CSP_km2,Onshore_Wind_GWh,Onshore_Wind_GW,Onshore_Wind_km2,Offshore_Wind_GWh,Offshore_Wind_GW,Offshore_Wind_km2,Biopower_Solid_GWh,Biopower_Solid_GW,Biopower_Solid_BDT,Biopower_Gaseous_GWh,Biopower_Gaseous_GW,Biopower_Gaseous_Tonnes_CH4,Geothermal_Hydrothermal_GWh,Geothermal_Hydrothermal_GW,EGS_Geothermal_GWh,EGS_Geothermal_GW,Hydropower_GWh,Hydropower_GW,Hydropower_Count_of_Sites
Andhra Pradesh,508.6,0.3,110.6,101.7,0.1,22.1,101.7,0.1,25.4,0,5.5,2543.2,1.5,497.9,0,0,0,282.6,0.2,0,0,0,0,0.1,0,0,0,2543.2,1.5,0
Arunachal Pradesh,508.6,0.3,110.6,101.7,0.1,22.1,101.7,0.1,25.4,0,5.5,2543.2,1.5,497.9,0,0,0,282.6,0.2,0,0,0,0,0.1,0,0,0,2543.2,1.5,0
Assam,508.6,0.3,110.6,101.7,0.1,22.1,101.7,0.1,25.4,0,5.5,2543.2,1.5,497.9,0,0,0,282.6,0.2,0,0,0,0,0.1,0,0,0,2543.2,1.5,0
Bihar,508.6,0.3,110.6,101.7,0.1,22.1,101.7,0.1,25.4,0,5.5,2543.2,1.5,497.9,0,0,0,282.6,0.2,0,0,0,0,0.1,0,0,0,2543.2,1.5,0
Chhattisgarh,508.6,0.3,110.6,101.7,0.1,22.1,101.7,0.1,25.4,0,5.5,2543.2,1.5,497.9,0,0,0,282.6,0.2,0,0,0,0,0.1,0,0,0,2543.2,1.5,0
Delhi,508.6,0.3,110.6,101.7,0.1,22.1,101.7,0.1,25.4,0,5.5,2543.2,1.5,497.9,0,0,0,282.6,0.2,0,0,0,0,0.1,0,0,0,2543.2,1.5,0
Goa,508.6,0.3,110.6,101.7,0.1,22.1,101.7,0.1,25.4,0,5.5,2543.2,1.5,497.9,0,0,0,282.6,0.2,0,0,0,0,0.1,0,0,0,2543.2,1.5,0
Gujarat,508.6,0.3,110.6,101.7,0.1,22.1,101.7,0.1,25.4,0,5.5,2543.2,1.5,497.9,0,0,0,282.6,0.2,0,0,0,0,0.1,0,0,0,2543.2,1.5,0
Haryana,508.6,0.3,110.6,101.7,0.1,22.1,101.7,0.1,25.4,0,5.5,2543.2,1.5,497.9,0,0,0,282.6,0.2,0,0,0,0,0.1,0,0,0,2543.2,1.5,0
Himachal Pradesh,508.6,0.3,110.6,101.7,0.1,22.1,101.7,0.1,25.4,0,5.5,2543.2,1.5,497.9,0,0,0,282.6,0.2,0,0,0,0,0.1,0,0,0,2543.2,1.5,0
Jammu and Kashmir,508.6,0.3,110.6,101.7,0.1,22.1,101.7,0.1,25.4,0,5.5,2543.2,1.5,497.9,0,0,0,282.6,0.2,0,0,0,0,0.1,0,0,0,2543.2,1.5,0
Jharkhand,508.6,0.3,110.6,101.7,0.1,22.1,101.7,0.1,25.4,0,5.5,2543.2,1.5,497.9,0,0,0,282.6,0.2,0,0,0,0,0.1,0,0,0,2543.2,1.5,0
Karnataka,508.6,0.3,110.6,101.7,0.1,22.1,101.7,0.1,25.4,0,5.5,2543.2,1.5,497.9,0,0,0,282.6,0.2,0,0,0,0,0.1,0,0,0,2543.2,1.5,0
Kerala,508.6,0.3,110.6,101.7,0.1,22.1,101.7,0.1,25.4,0,5.5,2543.2,1.5,497.9,0,0,0,282.6,0.2,0,0,0,0,0.1,0,0,0,2543.2,1.5,0
Madhya Pradesh,508.6,0.3,110.6,101.7,0.1,22.1,101.7,0.1,25.4,0,5.5,2543.2,1.5,497.9,0,0,0,282.6,0.2,0,0,0,0,0.1,0,0,0,2543.2,1.5,0
Maharashtra,508.6,0.3,110.6,101.7,0.1,22.1,101.7,0.1,25.4,0,5.5,2543.2,1.5,497.9,0,0,0,282.6,0.2,0,0,0,0,0.1,0,0,0,2543.2,1.5,0
Manipur,508.6,0.3,110.6,101.7,0.1,22.1,101.7,0.1,25.4,0,5.5,2543.2,1.5,497.9,0,0,0,282.6,0.2,0,0,0,0,0.1,0,0,0,2543.2,1.5,0
Meghalaya,508.6,0.3,110.6,101.7,0.1,22.1,101.7,0.1,25.4,0,5.5,2543.2,1.5,497.9,0,0,0,282.6,0.2,0,0,0,0,0.1,0,0,0,2543.2,1.5,0
Mizoram,508.6,0.3,110.6,101.7,0.1,22.1,101.7,0.1,25.4,0,5.5,2543.2,1.5,497.9,0,0,0,282.6,0.2,0,0,0,0,0.1,0,0,0,2543.2,1.5,0
Nagaland,508.6,0.3,110.6,101.7,0.1,22.1,101.7,0.1,25.4,0,5.5,2543.2,1.5,497.9,0,0,0,282.6,0.2,0,0,0,0,0.1,0,0,0,2543.2,1.5,0
Odisha,508.6,0.3,110.6,101.7,0.1,22.1,101.7,0.1,25.4,0,5.5,2543.2,1.5,497.9,0,0,0,282.6,0.2,0,0,0,0,0.1,0,0,0,2543.2,1.5,0
Punjab,508.6,0.3,110.6,101.7,0.1,22.1,101.7,0.1,25.4,0,5.5,2543.2,1.5,497.9,0,0,0,282.6,0.2,0,0,0,0,0.1,0,0,0,2543.2,1.5,0
Rajasthan,508.6,0.3,110.6,101.7,0.1,22.1,101.7,0.1,25.4,0,5.5,2543.2,1.5,497.9,0,0,0,282.6,0.2,0,0,0,0,0.1,0,0,0,2543.2,1.5,0
Sikkim,508.6,0.3,110.6,101.7,0.1,22.1,101.7,0.1,25.4,0,5.5,2543.2,1.5,497.9,0,0,0,282.6,0.2,0,0,0,0,0.1,0,0,0,2543.2,1.5,0
Tamil Nadu,508.6,0.3,110.6,101.7,0.1,22.1,101.7,0.1,25.4,0,5.5,2543.2,1.5,497.9,0,0,0,282.6,0.2,0,0,0,0,0.1,0,0,0,2543.2,1.5,0
Telangana,508.6,0.3,110.6,101.7,0.1,22.1,101.7,0.1,25.4,0,5.5,2543.2,1.5,497.9,0,0,0,282.6,0.2,0,0,0,0,0.1,0,0,0,2543.2,1.5,0
Tripura,508.6,0.3,110.6,101.7,0.1,22.1,101.7,0.1,25.4,0,5.5,2543.2,1.5,497.9,0,0,0,282.6,0.2,0,0,0,0,0.1,0,0,0,2543.2,1.5,0
Uttar Pradesh,508.6,0.3,110.6,101.7,0.1,22.1,101.7,0.1,25.4,0,5.5,2543.2,1.5,497.9,0,0,0,282.6,0.2,0,0,0,0,0.1,0,0,0,2543.2,1.5,0
Uttarakhand,508.6,0.3,110.6,101.7,0.1,22.1,101.7,0.1,25.4,0,5.5,2543.2,1.5,497.9,0,0,0,282.6,0.2,0,0,0,0,0.1,0,0,0,2543.2,1.5,0
Union Terotories,508.6,0.3,110.6,101.7,0.1,22.1,101.7,0.1,25.4,0,5.5,2543.2,1.5,497.9,0,0,0,282.6,0.2,0,0,0,0,0.1,0,0,0,2543.2,1.5,0
West Bengal,508.6,0.3,110.6,101.7,0.1,22.1,101.7,0.1,25.4,0,5.5,2543.2,1.5,497.9,0,0,0,282.6,0.2,0,0,0,0,0.1,0,0,0,2543.2,1.5,0
TOTAL,15768,10,3430,3153.6,2,686,3153.6,2,788.4,0.5,171.5,78840,45,15435,0,0,0,8760,5,0,0,0,0,0.1,0,0,0,78840,45,0
