# File: A23.ptc_USA.csv
# Title: Production tax credit
# Units: 1975 $/GJ
# Comments: consistent with Consolidated Appropriations Act of 2016, https://www.gpo.gov/fdsys/pkg/BILLS-114hr2029enr/pdf/BILLS-114hr2029enr.pdf
# Source: Received from Elke Hodson, DOE-EPSA; http://www.nrel.gov/docs/fy16osti/65571.pdf; https://www.gpo.gov/fdsys/pkg/BILLS-114hr2029enr/pdf/BILLS-114hr2029enr.pdf
# Column types: cccicn 
# ----------
supplysector,subsector,technology,year,minicam.non.energy.input,input.cost
electricity,wind,wind_storage,2020,regional price adjustment,-1.45
electricity,wind,wind_storage,2025,regional price adjustment,0
electricity,wind,wind_storage,2030,regional price adjustment,0
electricity,wind,wind_storage,2035,regional price adjustment,0
electricity,wind,wind_storage,2040,regional price adjustment,0
electricity,wind,wind_storage,2045,regional price adjustment,0
electricity,wind,wind_storage,2050,regional price adjustment,0
electricity,wind,wind_storage,2055,regional price adjustment,0
electricity,wind,wind_storage,2060,regional price adjustment,0
electricity,wind,wind_storage,2065,regional price adjustment,0
electricity,wind,wind_storage,2070,regional price adjustment,0
electricity,wind,wind_storage,2075,regional price adjustment,0
electricity,wind,wind_storage,2080,regional price adjustment,0
electricity,wind,wind_storage,2085,regional price adjustment,0
electricity,wind,wind_storage,2090,regional price adjustment,0
electricity,wind,wind_storage,2095,regional price adjustment,0
electricity,wind,wind_storage,2100,regional price adjustment,0
electricity,geothermal,geothermal,2020,regional price adjustment,-1.81
electricity,geothermal,geothermal,2025,regional price adjustment,0
electricity,geothermal,geothermal,2030,regional price adjustment,0
electricity,geothermal,geothermal,2035,regional price adjustment,0
electricity,geothermal,geothermal,2040,regional price adjustment,0
electricity,geothermal,geothermal,2045,regional price adjustment,0
electricity,geothermal,geothermal,2050,regional price adjustment,0
electricity,geothermal,geothermal,2055,regional price adjustment,0
electricity,geothermal,geothermal,2060,regional price adjustment,0
electricity,geothermal,geothermal,2065,regional price adjustment,0
electricity,geothermal,geothermal,2070,regional price adjustment,0
electricity,geothermal,geothermal,2075,regional price adjustment,0
electricity,geothermal,geothermal,2080,regional price adjustment,0
electricity,geothermal,geothermal,2085,regional price adjustment,0
electricity,geothermal,geothermal,2090,regional price adjustment,0
electricity,geothermal,geothermal,2095,regional price adjustment,0
electricity,geothermal,geothermal,2100,regional price adjustment,0
electricity,biomass,biomass (conv),2020,regional price adjustment,-0.96
electricity,biomass,biomass (conv),2025,regional price adjustment,0
electricity,biomass,biomass (conv),2030,regional price adjustment,0
electricity,biomass,biomass (conv),2035,regional price adjustment,0
electricity,biomass,biomass (conv),2040,regional price adjustment,0
electricity,biomass,biomass (conv),2045,regional price adjustment,0
electricity,biomass,biomass (conv),2050,regional price adjustment,0
electricity,biomass,biomass (conv),2055,regional price adjustment,0
electricity,biomass,biomass (conv),2060,regional price adjustment,0
electricity,biomass,biomass (conv),2065,regional price adjustment,0
electricity,biomass,biomass (conv),2070,regional price adjustment,0
electricity,biomass,biomass (conv),2075,regional price adjustment,0
electricity,biomass,biomass (conv),2080,regional price adjustment,0
electricity,biomass,biomass (conv),2085,regional price adjustment,0
electricity,biomass,biomass (conv),2090,regional price adjustment,0
electricity,biomass,biomass (conv),2095,regional price adjustment,0
electricity,biomass,biomass (conv),2100,regional price adjustment,0
