# File: UCD_trn_data_CORE.csv
# Title: UCD transportation database with selected technology updates
# Units: Various
# Column types: ccccccccnnnnnnnnnnnnnnnnnnnn 
# ----------
UCD_region,UCD_sector,mode,size.class,UCD_technology,UCD_fuel,variable,unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Africa,Passenger,LDV_2W,Motorcycle (50-250cc),All,All,annual travel per vehicle,vkt/veh/yr,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478
Africa,Passenger,LDV_3W,Three-Wheeler,All,All,annual travel per vehicle,vkt/veh/yr,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478,8478
Africa,Passenger,LDV_4W,Mini Car,All,All,annual travel per vehicle,vkt/veh/yr,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391
Africa,Passenger,LDV_4W,Subcompact Car,All,All,annual travel per vehicle,vkt/veh/yr,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391
Africa,Passenger,LDV_4W,Compact Car,All,All,annual travel per vehicle,vkt/veh/yr,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391
Africa,Passenger,LDV_4W,Multipurpose Vehicle,All,All,annual travel per vehicle,vkt/veh/yr,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391,10391
Australia_NZ,Passenger,LDV_2W,Motorcycle (>250cc),All,All,annual travel per vehicle,vkt/veh/yr,3438,3438,3438,3438,3438,3438,3438,3438,3438,3438,3438,3438,3438,3438,3438,3438,3438,3438,3438,3438
Australia_NZ,Passenger,LDV_4W,Compact Car,All,All,annual travel per vehicle,vkt/veh/yr,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081
Australia_NZ,Passenger,LDV_4W,Midsize Car,All,All,annual travel per vehicle,vkt/veh/yr,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081,11081
Australia_NZ,Passenger,LDV_4W,Large Car,All,All,annual travel per vehicle,vkt/veh/yr,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543,13543
