Turn on Fusion at ,,6.0,cents(1990)/kw-hr,,,by 2095,,,,,,

"""HUILM"" REFLECTS NONENERGY COSTS IN 1975 DOLLARS PER GJ (Does not include T&D).",,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
471,,,,,,,,,,,,
,,"HUILM(I,L,M)",,,,,,,,,,
FuelNum,1975,1990,2005,2020,2035,2050,2065,2080,2095,REGION,REG#,FuelName
12,100,100,100,100,100,11.9,8.8,8.2,7.6,USA,1,FUSION
12,100,100,100,100,100,11.9,8.8,8.2,7.6,CANADA,2,FUSION
12,100,100,100,100,100,11.9,8.8,8.2,7.6,WEUR,3,FUSION
12,100,100,100,100,100,11.9,8.8,8.2,7.6,JAPAN,4,FUSION
12,100,100,100,100,100,11.9,8.8,8.2,7.6,AUS&NZ,5,FUSION
12,100,100,100,100,100,11.9,8.8,8.2,7.6,FSU,6,FUSION
12,100,100,100,100,100,11.9,8.8,8.2,7.6,ACENP,7,FUSION
12,100,100,100,100,100,11.9,8.8,8.2,7.6,MIDEAST,8,FUSION
12,100,100,100,100,100,11.9,8.8,8.2,7.6,AFR,9,FUSION
12,100,100,100,100,100,11.9,8.8,8.2,7.6,LA,10,FUSION
12,100,100,100,100,100,11.9,8.8,8.2,7.6,S&E ASIA,11,FUSION
12,100,100,100,100,100,11.9,8.8,8.2,7.6,EEUR,12,FUSION
12,100,100,100,100,100,11.9,8.8,8.2,7.6,Korea,13,FUSION
12,100,100,100,100,100,11.9,8.8,8.2,7.6,India,14,FUSION

Cost Improvement:,,,,,-,2%,0.50%,0.50%,,,,


BSUILM Logit function scale parameters for electricity,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
472,,,,,,,,,,,,
,,BSUILM,,,,,,,,,,
Fuel,1975,1990,2005,2020,2035,2050,2065,2080,2095,,,
8,0,0,0,0,0.12,0.12,0.14,0.14,0.14,US,FUSION
8,0,0,0,0,0.12,0.12,0.14,0.14,0.14,CANADA,FUSION
8,0,0,0,0,0.12,0.12,0.14,0.14,0.14,WEUR,FUSION
8,0,0,0,0,0.12,0.12,0.14,0.14,0.14,JAPAN,FUSION
8,0,0,0,0,0.12,0.12,0.14,0.14,0.14,AUS&NZ,FUSION
8,0,0,0,0,0.12,0.12,0.14,0.14,0.14,FSU,FUSION
8,0,0,0,0,0.12,0.12,0.14,0.14,0.14,ACENP,FUSION
8,0,0,0,0,0.12,0.12,0.14,0.14,0.14,MIDEAST,FUSION
8,0,0,0,0,0.12,0.12,0.14,0.14,0.14,AFRICA,FUSION
8,0,0,0,0,0.12,0.12,0.14,0.14,0.14,L AMER,FUSION
8,0,0,0,0,0.12,0.12,0.14,0.14,0.14,S&E ASIA,FUSION
8,0,0,0,0,0.12,0.12,0.14,0.14,0.14,EEUR,FUSION
8,0,0,0,0,0.12,0.12,0.14,0.14,0.14,KOREA,FUSION
8,0,0,0,0,0.12,0.12,0.14,0.14,0.14,INDIA,FUSION


EoF
