# Overall stock average and efficiency of each option for efficiency-partitioned technologies,,,,,,,
# Source: Tables_Bld_Data.xlsx,,,,,,,
supplysector,subsector,technology1,technology2,minicam-energy-input,eff_tech1,eff_tech2,stockavg
resid heating,gas,gas furnace,gas furnace hi-eff,delivered gas,0.78,0.9,0.814
resid heating,refined liquids,fuel furnace,fuel furnace hi-eff,refined liquids enduse,0.78,0.85,0.817
resid cooling,electricity,air conditioning,air conditioning hi-eff,elect_td_bld,2.637,3.956,2.918
resid hot water,gas,gas water heater,gas water heater hi-eff,delivered gas,0.537,0.747,0.56
resid hot water,electricity,electric resistance water heater,electric resistance water heater hi-eff,elect_td_bld,0.842,0.901,0.888
resid hot water,refined liquids,fuel water heater,fuel water heater hi-eff,refined liquids enduse,0.53,0.68,0.575
comm heating,gas,gas furnace,gas furnace hi-eff,delivered gas,0.7,0.855,0.728
comm heating,refined liquids,fuel boiler,fuel boiler hi-eff,refined liquids enduse,0.7,0.85,0.757
comm cooling,electricity,air conditioning,air conditioning hi-eff,elect_td_bld,2.4,3.66,2.73
comm hot water,gas,gas water heater,gas water heater hi-eff,delivered gas,0.78,0.94,0.816
comm ventilation,electricity,ventilation,ventilation hi-eff,elect_td_bld,0.71,0.854,0.743
