country,iso,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
United States,usa,,,,,,,,,,,62.4,63.1,64.0,64.6,65.1,66.3,66.7,67.6,67.8,67.8,67.6,68.3,68.8,69.8,70.0
Denmark,dnk,44.0,,,,,,,,,,49.0,49.2,49.4,49.5,49.6,49.8,49.8,50.0,50.2,50.5,50.7,51.0,51.1,51.5,51.9
Norway,nor,36.5,,,,,,,,,,45.5,46.0,46.3,46.5,46.7,47.0,47.4,47.7,48.0,48.4,48.7,49.1,49.5,49.8,50.1
Canada,can,39.0,,,,,,,,,,43.2,44.2,44.7,45.3,45.7,46.1,46.5,46.8,47.1,47.3,47.6,47.7,47.7,48.0,48.3
Sweden,swe,44.5,,,,,,,,,,45.2,46.5,47.1,46.6,46.3,46.0,45.4,44.5,44.1,44.0,44.0,43.8,44.5,45.2,44.2
New Zealand,nzl,,,,,,,,,,,37.1,36.3,36.6,36.9,37.3,37.6,38.0,38.4,38.9,39.6,40.3,41.0,41.5,42.2,43.1
Australia,aus,35.9,,,,,,,,,,40.7,,,,,,,,46.1,,,,,,
Netherlands,nld,,,,,,,,,,,40.3,40.3,40.8,40.9,40.8,41.5,41.8,42.1,42.1,42.4,42.5,42.6,42.6,42.7,42.9
Finland,fin,24.5,,,,,,,,,,31.2,31.5,32.0,34.8,35.1,35.4,35.5,35.9,36.4,36.9,37.3,37.9,38.3,38.8,39.1
Austria,aut,,,,,,,,,,,31.7,32.1,32.4,32.6,33.3,34.2,34.8,35.3,35.6,36.3,36.8,37.3,37.6,37.8,38.2
Germany,deu,,,,,,,,,,,33.2,34.0,34.1,34.3,34.8,35.0,35.2,35.5,35.7,36.1,36.4,36.5,36.2,37.1,37.5
Italy,ita,26.5,,,,,,,,,,32.3,32.8,33.1,33.3,33.7,34.0,34.4,34.7,35.0,35.3,36.0,36.5,36.8,36.8,36.8
United Kingdom,gbr,29.0,,,,,,,,,,30.9,31.2,31.8,32.4,33.1,33.8,34.3,34.7,35.0,35.4,35.8,35.5,35.8,36.3,36.6
France,fra,28.0,,,,,,,,,,31.8,32.1,32.2,32.4,32.8,33.5,34.0,34.2,34.6,35.2,35.6,35.8,36.0,36.1,36.2
Japan,jpn,,,,,,,,,,,27.1,27.7,28.3,28.9,29.3,29.8,30.2,30.7,31.1,31.7,32.3,32.8,33.4,33.9,34.6
Spain,esp,,,,,,,,,,,25.0,25.3,25.5,25.7,26.0,26.5,26.8,27.2,27.4,28.2,29.2,29.8,30.3,30.6,30.6
