# File: UCD_techs_revised.csv
# Title: UCD technologies mapping
# Units: NA
# Description: Maps UCD technology to GCAM technology
# Source: Mishra et al. 2013.Documented in JIRA issue https://jira.pnnl.gov/jira/browse/JGCRI-358?src=confmacro.
# Column types: ccccccccccc
# ----------
UCD_sector,mode,size.class,UCD_technology,UCD_fuel,UCD_category,fuel,supplysector,tranSubsector,tranTechnology,minicam.energy.input
Passenger,Air Domestic,All,Liquids,Liquids,trn_air,refined liquids,trn_pass,Domestic Aviation,Liquids,refined liquids enduse
Passenger,Air International,All,Liquids,Liquids,trn_air,refined liquids,trn_aviation_intl,International Aviation,Liquids,refined liquids enduse
Passenger,Bus,All,Liquids,Liquids,trn_road and rail,refined liquids,trn_pass_road,Bus,Liquids,refined liquids enduse
Passenger,Bus,All,NG,Natural Gas,trn_road and rail,gas,trn_pass_road,Bus,NG,delivered gas
Passenger,HSR,All,Electric,Electricity,trn_road and rail,electricity,trn_pass,HSR,Electric,elect_td_trn
Passenger,LDV_2W,Motorcycle (50-250cc),Liquids,Liquids,trn_road and rail,refined liquids,trn_pass_road_LDV,2W and 3W,Liquids,refined liquids enduse
Passenger,LDV_2W,Motorcycle (50-250cc),BEV,Electricity,trn_road and rail,electricity,trn_pass_road_LDV,2W and 3W,BEV,elect_td_trn
Passenger,LDV_3W,Three-Wheeler,Liquids,Liquids,trn_road and rail,refined liquids,trn_pass_road_LDV,2W and 3W,Liquids,refined liquids enduse
Passenger,LDV_3W,Three-Wheeler,NG,Natural Gas,trn_road and rail,gas,trn_pass_road_LDV,2W and 3W,NG,delivered gas
Passenger,LDV_4W,Mini Car,Liquids,Liquids,trn_road and rail,refined liquids,trn_pass_road_LDV_4W,Mini Car,Liquids,refined liquids enduse
Passenger,LDV_4W,Mini Car,Hybrid Liquids,Liquids,trn_road and rail,refined liquids,trn_pass_road_LDV_4W,Mini Car,Hybrid Liquids,refined liquids enduse
Passenger,LDV_4W,Mini Car,NG,Natural Gas,trn_road and rail,gas,trn_pass_road_LDV_4W,Mini Car,NG,delivered gas
Passenger,LDV_4W,Mini Car,BEV,Electricity,trn_road and rail,electricity,trn_pass_road_LDV_4W,Mini Car,BEV,elect_td_trn
Passenger,LDV_4W,Mini Car,FCEV,Hydrogen,trn_road and rail,hydrogen,trn_pass_road_LDV_4W,Mini Car,FCEV,H2 enduse
Passenger,LDV_4W,Subcompact Car,Liquids,Liquids,trn_road and rail,refined liquids,trn_pass_road_LDV_4W,Car,Liquids,refined liquids enduse
Passenger,LDV_4W,Subcompact Car,Hybrid Liquids,Liquids,trn_road and rail,refined liquids,trn_pass_road_LDV_4W,Car,Hybrid Liquids,refined liquids enduse
Passenger,LDV_4W,Subcompact Car,NG,Natural Gas,trn_road and rail,gas,trn_pass_road_LDV_4W,Car,NG,delivered gas
Passenger,LDV_4W,Subcompact Car,BEV,Electricity,trn_road and rail,electricity,trn_pass_road_LDV_4W,Car,BEV,elect_td_trn
Passenger,LDV_4W,Subcompact Car,FCEV,Hydrogen,trn_road and rail,hydrogen,trn_pass_road_LDV_4W,Car,FCEV,H2 enduse
Passenger,LDV_4W,Compact Car,Liquids,Liquids,trn_road and rail,refined liquids,trn_pass_road_LDV_4W,Car,Liquids,refined liquids enduse
Passenger,LDV_4W,Compact Car,Hybrid Liquids,Liquids,trn_road and rail,refined liquids,trn_pass_road_LDV_4W,Car,Hybrid Liquids,refined liquids enduse
Passenger,LDV_4W,Compact Car,NG,Natural Gas,trn_road and rail,gas,trn_pass_road_LDV_4W,Car,NG,delivered gas
Passenger,LDV_4W,Compact Car,BEV,Electricity,trn_road and rail,electricity,trn_pass_road_LDV_4W,Car,BEV,elect_td_trn
Passenger,LDV_4W,Compact Car,FCEV,Hydrogen,trn_road and rail,hydrogen,trn_pass_road_LDV_4W,Car,FCEV,H2 enduse
Passenger,LDV_4W,Multipurpose Vehicle,Liquids,Liquids,trn_road and rail,refined liquids,trn_pass_road_LDV_4W,Large Car and Truck,Liquids,refined liquids enduse
Passenger,LDV_4W,Multipurpose Vehicle,Hybrid Liquids,Liquids,trn_road and rail,refined liquids,trn_pass_road_LDV_4W,Large Car and Truck,Hybrid Liquids,refined liquids enduse
Passenger,LDV_4W,Multipurpose Vehicle,NG,Natural Gas,trn_road and rail,gas,trn_pass_road_LDV_4W,Large Car and Truck,NG,delivered gas
Passenger,LDV_4W,Multipurpose Vehicle,BEV,Electricity,trn_road and rail,electricity,trn_pass_road_LDV_4W,Large Car and Truck,BEV,elect_td_trn
Passenger,LDV_4W,Multipurpose Vehicle,FCEV,Hydrogen,trn_road and rail,hydrogen,trn_pass_road_LDV_4W,Large Car and Truck,FCEV,H2 enduse
Freight,Rail,All,Liquids,Liquids,trn_road and rail,refined liquids,trn_freight,Freight Rail,Liquids,refined liquids enduse
Freight,Rail,All,Electric,Electricity,trn_road and rail,electricity,trn_freight,Freight Rail,Electric,elect_td_trn
Freight,Rail,All,Tech-Adv-Liquid,Liquids,trn_road and rail,refined liquids,trn_freight,Freight Rail,Adv-Liquid,refined liquids enduse
Freight,Rail,All,Tech-Adv-Electric,Electricity,trn_road and rail,electricity,trn_freight,Freight Rail,Adv-Electric,elect_td_trn
Passenger,Rail,All,Liquids,Liquids,trn_road and rail,refined liquids,trn_pass,Passenger Rail,Liquids,refined liquids enduse
Passenger,Rail,All,Electric,Electricity,trn_road and rail,electricity,trn_pass,Passenger Rail,Electric,elect_td_trn
Passenger,Rail,All,Tech-Adv-Liquid,Liquids,trn_road and rail,refined liquids,trn_pass,Passenger Rail,Tech-Adv-Liquid,refined liquids enduse
