# File: A51.steepness.csv
# Title: Steepness of emissions reduction by supply sector, subsector, technology, and gas
# Units: Percentage
# Source: Internal
# Column types: cccnnnnnn 
# ----------
supplysector,subsector,stub.technology,SO2,NOx,CO,BC,OC,NMVOC
cement,cement,cement,,,,,,
district heat,biomass,biomass,,,,,,
district heat,coal,coal,,,,,,
district heat,electricity,electricity,,,,,,
district heat,gas,gas,,,,,,
district heat,refined liquids,refined liquids,,,,,,
elect_td_bld,elect_td_bld,elect_td_bld,,,,,,
elect_td_ind,elect_td_ind,elect_td_ind,,,,,,
elect_td_trn,elect_td_trn,elect_td_trn,,,,,,
electricity,biomass,biomass (conv),3.5,3.5,3.5,3.5,3.5,3.5
electricity,biomass,biomass (IGCC CCS),3.5,3.5,3.5,3.5,3.5,3.5
electricity,biomass,biomass (IGCC),3.5,3.5,3.5,3.5,3.5,3.5
electricity,coal,coal (conv pul),3.5,3.5,3.5,3.5,3.5,3.5
electricity,coal,coal (IGCC CCS),3.5,3.5,3.5,3.5,3.5,3.5
electricity,coal,coal (IGCC),3.5,3.5,3.5,3.5,3.5,3.5
electricity,gas,gas (CC CCS),3.5,3.5,3.5,3.5,3.5,3.5
electricity,gas,gas (CC),3.5,3.5,3.5,3.5,3.5,3.5
electricity,gas,gas (steam/CT),3.5,3.5,3.5,3.5,3.5,3.5
electricity,geothermal,geothermal,,,,,,
electricity,hydro,hydro,,,,,,
electricity,nuclear,Gen_II_LWR,,,,,,
electricity,refined liquids,refined liquids (IGCC CCS),3.5,3.5,3.5,3.5,3.5,3.5
electricity,refined liquids,refined liquids (IGCC),3.5,3.5,3.5,3.5,3.5,3.5
electricity,refined liquids,refined liquids (steam/CT),3.5,3.5,3.5,3.5,3.5,3.5
electricity,solar,CSP,,,,,,
electricity,solar,PV,,,,,,
electricity,wind,wind,,,,,,
electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,,,,,,
gas pipeline,gas pipeline,gas pipeline,,,,,,
gas processing,biomass gasification,biomass gasification,,,,,,
gas processing,coal gasification,coal gasification,,,,,,
