# File: Bond_BC_1990.csv
# Title: 1990 BC emissions by Minicam 17 regions (14 reg + LAM breakout), technology, fuel
# Units: Gg C
# Source: Bond et al. 2007. Global Biogeochemical Cycles 21 GB2018. DOI: 10.1029/2006GB002840
Technology,USA , Canada , WEurope , Japan , AustraliaAndNZ , FUSSR , EEurope , ChinaCPA , India , SandEAsia , SKorea , MiddleEast , Africa , LAmerica , Argentina , Brazil , Mexico 
Elec_Coal,1.31,0.07,0.82,0.07,0.1,1.48,2,15.63,0.68,0.1,0.02,0.04,0.7,0.03,0,0.02,0.03
Elec_Gas,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0
Elec_Petroleum,1.02,0.13,1.72,1.77,0.01,2.8,0.52,0.6,0.09,0.68,0.17,0.75,0.36,0.37,0.05,0.03,0.65
Elec_Gasoline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elec_Diesel,0.01,0,0.16,0,0,0,1.06,0.07,0,0.01,0,0.02,0.01,0.01,0,0,0
Elec_Biomass,3.79,0.04,0.47,0.37,0.1,0,0.06,0,0,0,0,0,0,0.15,0.02,0.1,0
OtherTransf_Coal,11.55,1.64,27.86,24.88,1.97,41.25,20.53,139.06,9.46,0.85,3.9,0.76,6.57,1.05,0.87,7.94,2.22
OtherTransf_Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OtherTransf_Petroleum,0.16,0.04,0.99,0.22,0.01,0.15,0.07,0.13,0.07,0.16,0.04,0.22,0.08,0.06,0.04,0.12,0.2
OtherTransf_Gasoline,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23
OtherTransf_Diesel,0.22,0.07,3.24,0.04,0,0,0.05,0.45,0,0,0.03,0,0,0.53,0.62,1.2,2.95
OtherTransf_Biomass,0,0,0.02,0,0,0,0,0.49,0,6.3,0,0.12,14.38,0.99,0.21,6.55,0
Industry_Coal,51.21,0.02,2.15,0.19,0.23,16.66,6.28,237.81,18.66,7.52,0.06,0.01,3.22,0.47,0,0.17,0.01
Industry_Gas,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0
Industry_Petroleum,0.74,0.22,1.56,7.42,0.06,6.94,0.27,0.68,0.27,0.41,0.78,1.58,0.49,0.45,0.04,0.33,0.84
Industry_Gasoline,5.75,0,0.85,0,0.16,62.28,0.06,4.78,0,0.17,0,0.03,0.08,0.1,0,0,0
Industry_Diesel,67.19,10.71,64.9,31.3,7.07,121.79,21.91,47.46,4.48,35.69,7.5,23.64,26.04,17.29,4.86,10.78,7.67
Industry_Biomass,1.56,0.97,4.15,0.5,0.35,0,0.69,1.79,26.11,15.07,0,1.49,51.11,18.46,1.85,24.97,2.25
Industry_BioLiquid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirTransport_Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirTransport_Petroleum,7.55,0.43,3.11,0.76,0.32,2.27,0.11,0.29,0.18,0.7,0.22,0.72,0.48,0.29,0.07,0.24,0.18
AirTransport_Gasoline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirTransport_Diesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RoadTransport_Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RoadTransport_Petroleum,0,0,0.01,0,0,0,0.01,0.41,0.13,0.04,0.01,0,0,0,0,0,0
