# File: gains_to_gcam_sector.csv,
# Title: Mapping GAINS model sectors to GCAM sector,
# Units: NA,
# Source: Rao et al. 2017 "Future air pollution in the Shared Socio-economic Pathways" Global Environmental Change.,
IIASA_Sector,GCAM_tag
AACID,
CEMENT,cement
CHEM,
CHEMBULK,
CUSM,
End_Use_Industry_Bio_Trad,ind_bio
End_Use_Industry_Coal,ind_coal
End_Use_Industry_HLF,ind_oil
End_Use_Industry_LLF,ind_oil
End_Use_Industry_NatGas,ind_gas
End_Use_Others_Bio_Mod,ind_bio
End_Use_Others_Bio_Trad,ind_bio
End_Use_Others_Coal,ind_coal
End_Use_Others_HLF,ind_oil
End_Use_Others_LLF,ind_oil
End_Use_Others_NatGas,ind_gas
End_Use_Residential_Bio_Mod,bld_bio
End_Use_Residential_Bio_Trad,bld_tradbio
End_Use_Residential_Coal,bld_coal
End_Use_Residential_HLF,bld_oil
End_Use_Residential_LLF,bld_oil
End_Use_Residential_NatGas,bld_gas
End_Use_Services_Bio_Mod,bld_bio
End_Use_Services_Bio_Trad,bld_tradbio
End_Use_Services_Coal,bld_coal
End_Use_Services_HLF,bld_oil
End_Use_Services_LLF,bld_oil
End_Use_Services_NatGas,bld_gas
End_Use_Transport_Air_Domestic,trn_air
End_Use_Transport_Air_LTO,trn_air
End_Use_Transport_Coal,trn_coal
End_Use_Transport_HLF,trn_oil
End_Use_Transport_LLF,trn_oil
End_Use_Transport_NatGas,trn_gas
Losses_Vent_Flare,vent_flare
NACID,
PAPER,
Power_Gen_Bio_Trad,elec_bio
Power_Gen_Coal,elec_coal
Power_Gen_HLF,elec_oil
Power_Gen_LLF,elec_oil
Power_Gen_NatGas,elec_gas
STEEL,
Transformations_HLF,oil_prod
Transformations_HLF_Refinery,refinery
Transformations_LLF,oil_prod
Unattributed,
