# File: reeds_PV_curve_capacity.csv
# Title: Solar PV Resource Potential by ReEDS Region; PV Class; and Bin
# Units: MW
# Comments: PV resource potential in MW for each region-class-bin. Bins are the portions of the interconnection supply curves. Summing across bins will provide total resource in a region and class.
# Source: Information based on ReEDS version 2017.  Files provided by ReEDS team in April 2017.
# Column types: ccnnnnn 
# ----------
BA,PV.class,upvsc1,upvsc2,upvsc3,upvsc4,upvsc5
p1,class1,1.5795,2.2113,5.0544,0,0
p1,class2,677.2896,582.8355,1392.4872,2685.7818,2447.9091
p1,class3,872.8317,1740.609,3001.9977,2108.6325,618.8481
p1,class4,144.0504,744.5763,5230.9881,5678.6184,1115.4429
p1,class5,655.8084,135.2052,2632.7106,5486.5512,2587.5369
p2,class2,187.3287,32.8536,194.2785,1021.9365,151.0002
p2,class3,402.7725,1343.5227,2730.6396,2048.2956,3269.565
p2,class4,1802.8413,6659.172,5665.3506,9950.85,17701.1406
p2,class5,2574.9009,49810.4802,67024.8189,66115.9746,64855.5336
p3,class2,3.159,60.3369,46.4373,64.7595,111.8286
p3,class3,307.3707,1328.9913,596.4192,1087.0119,290.628
p3,class4,49165.7283,81080.7894,77873.7726,58220.6859,25830.1953
p3,class5,6540.0777,55293.8724,59713.3134,56702.7864,46602.5157
p4,class4,1449.0333,20881.9377,34341.1731,34287.1542,21452.4531
p4,class5,21894.3972,35495.4717,34603.0542,35254.1241,20968.4943
p5,class2,14.8473,37.908,379.3959,172.1655,111.8286
p5,class3,26655.3261,47536.0002,50681.4165,36595.7514,22002.435
p5,class4,31.9059,8148.3246,8974.0872,51335.0136,56154.0681
p5,class5,6774.7914,82560.1491,126762.7725,141802.1397,144902.0664
p5,class6,37.2762,0,0,0,0
p6,class3,34.749,2881.9557,1556.7552,964.7586,81.8181
p6,class4,84.9771,883.8882,1525.797,3899.1537,4931.8308
p6,class5,11573.9442,17812.6533,40796.9055,46287.2475,46842.9156
p6,class6,239.4522,19933.29,34266.6207,35326.7811,17997.4548
p7,class4,1391.2236,238.5045,4626.0396,3682.1304,66.0231
p7,class5,89608.8258,119990.8242,123049.6839,117105.7095,101640.1932
p7,class6,14802.4422,134686.4922,154073.2752,158968.7775,149774.508
p8,class4,1.8954,157.0023,23.0607,2.2113,45.1737
p8,class5,931.905,264.4083,167.427,2289.3273,909.792
p8,class6,71940.5388,86627.6775,101945.6685,106021.7262,97883.5104
p8,class7,24.0084,1333.7298,1365.6357,8646.183,5924.0727
p9,class3,3.4749,49.5963,91.2951,447.3144,159.2136
p9,class4,38.5398,2581.8507,2283.0093,5081.2515,797.6475
p9,class5,846.612,152.5797,1379.5353,3647.0655,3190.59
p9,class6,173019.6936,304716.1923,301154.7357,305520.1578,244703.7216
p9,class7,3190.2741,4902.1362,60885.3024,91741.1508,81163.2393
p10,class5,13.2678,163.3203,95.0859,123.5169,78.3432
p10,class6,160.7931,5121.3708,7707.96,63544.8645,76697.0451
p10,class7,6305.6799,41135.5503,92737.1835,101228.8914,81898.0227
p10,class8,185882.1939,355556.5065,355361.2803,349247.9835,234313.7706
p10,class9,561.9861,4020.1434,3890.9403,1618.9875,3271.4604
p11,class6,0.6318,12.3201,25.5879,61.2846,0
p11,class7,493.1199,1778.517,2140.2225,2932.8156,2467.8108
p11,class8,89.7156,4049.5221,5923.125,13163.2371,11458.9566
p12,class4,56.5461,96.9813,36.9603,54.9666,32.8536
p12,class5,3624.0048,33743.1744,35745.9804,34646.6484,21436.0263
p12,class6,333271.0251,386304.9489,388000.0683,374690.8854,337357.5075
p12,class7,248831.5869,284656.2264,275815.7649,293493.8448,310660.7985
p12,class8,95471.6139,169566.2748,183153.1338,187162.2207,180222.2136
p13,class7,66.0231,3915.5805,2836.782,3809.1222,819.7605
p13,class8,17193.4893,32361.7437,43305.1515,32906.3553,21558.2796
p14,class2,42.0147,63.18,44.8578,0,0
p14,class3,976.4469,1457.8785,3126.4623,859.5639,4001.5053
p14,class4,7236.3213,21217.4235,15906.5127,13832.6292,32375.6433
p15,class3,65.3913,4.1067,57.1779,1.2636,0.9477
p15,class4,538.9254,16964.4618,30367.467,32374.0638,7182.3024
p15,class5,102180.3822,143900.3475,131517.0675,117514.8,139498.281
p15,class6,48179.4885,86099.8086,112126.1778,123751.2978,92630.4093
p16,class3,1460.4057,2707.263,1919.4084,888.6267,29.6946
p16,class4,21303.9801,48955.3389,65866.7295,66695.3352,32465.043
p16,class5,125312.4756,140273.8155,138635.874,138103.5825,89127.3942
p16,class6,87.5043,4837.0608,11216.0295,13591.9134,12858.7095
p17,class3,6206.8032,10648.3572,11984.9301,21403.1727,6025.1607
p17,class4,34579.9935,76931.127,65358.7623,59297.9049,63093.1275
p17,class5,766.3734,6522.3873,14444.5275,15061.7961,11281.1049
p18,class3,0.6318,560.7225,495.0153,282.7305,665.2854
p18,class4,355195.1169,423718.2495,471632.0661,487008.8145,494641.2744
p18,class5,195.5421,8376.7203,15183.1017,16410.3732,17874.2538
p19,class3,5198.4504,9862.7139,14618.9043,15997.8078,10638.2484
p19,class4,111940.7445,116125.1559,113677.5627,125022.4794,114727.6143
p20,class4,185586.8274,217976.6862,207661.9194,202132.7217,205854.6555
p20,class5,25921.4904,30618.2916,21530.4804,30640.0887,34722.4644
p21,class3,6.0021,85.9248,72.657,18.6381,17.3745
p21,class4,1160.3007,5738.3235,7695.324,15600.0897,7998.9039
p21,class5,153058.6044,195295.3821,206626.3992,212105.6847,217712.2779
p21,class6,94691.025,147065.6655,157694.7528,159712.722,121842.9459
p22,class3,139.6278,15.1632,5.3703,64.7595,22.7448
p22,class4,3192.1695,5802.4512,6558.084,2311.7562,1005.5097
p22,class5,122.5692,18772.9893,33358.4082,43777.7379,15527.1168
p23,class4,807.1245,821.34,1540.6443,1652.7888,1205.4744
p23,class5,90609.2811,99511.0272,100482.1038,106551.8064,112848.3252
p23,class6,21.7971,164.5839,173.1132,44.5419,41.6988
p24,class4,1765.881,14608.1637,2911.3344,9343.0584,5409.7875
p24,class5,284270.1966,329028.4881,331269.4827,321015.0528,310374.5931
p24,class6,311.7933,25259.6799,31182.1731,30205.7262,13667.7294
p25,class4,5.6862,72.3411,484.2747,830.817,773.6391
p25,class5,48502.9701,15547.9662,56800.7154,43738.5663,1800.3141
p25,class6,197463.0879,261406.6182,267218.5464,252834.3558,132497.6211
p25,class7,181587.8493,252171.5976,239519.4867,236813.1714,204794.811
p25,class8,322.218,826.7103,72205.8948,47264.0103,11654.8146
p26,class4,176.2722,74.5524,981.5013,410.67,156.6864
p26,class5,4806.4185,12816.6948,13581.8046,18100.1223,8155.2744
p26,class6,32106.1806,48583.5246,46310.3082,45345.5496,24873.0183
p26,class7,17.6904,59.0733,106.1424,197.7534,2485.8171
p27,class7,3648.3291,4942.5714,24589.656,50017.7106,44816.1012
p27,class8,66715.2369,77467.5252,74943.4842,52352.8434,33200.4582
p28,class7,140183.784,193454.3169,200712.4353,192499.0353,147991.2525
p28,class8,551046.7989,660822.9966,663831.3123,658257.8886,626921.2404
p29,class6,609.0552,371.4984,1456.6149,1435.4496,674.4465
p29,class7,103013.4105,89617.671,78123.0177,89948.4183,53548.8408
p29,class8,53836.9416,60471.7893,64116.6435,57640.6935,52286.5044
p30,class7,3.7908,3.159,40.1193,36.3285,29.3787
p30,class8,87798.087,112145.4477,113818.4541,117620.9424,105332.1165
