# File: GCAMLandLeaf_CdensityLT.csv,
# Description: Maps GCAM land leaves to corresponding land types in carbon density databases,
# Original source: Land_nesting_structure.xls,
# ----------,
LandLeaf,Land_Type
Tundra,Tundra
RockIceDesert,RockIceDesert
UrbanLand,UrbanLand
UnmanagedPasture,Pasture
UnmanagedForest,Forest
Grassland,Grassland
Shrubland,Shrubland
OtherArableLand,Cropland
Pasture,Pasture
Forest,Forest
Corn,Cropland
FiberCrop,Cropland
FodderGrass,Cropland
FodderHerb,Cropland
MiscCrop,Cropland
OilCrop,Cropland
OtherGrain,Cropland
PalmFruit,Cropland
Rice,Cropland
Root_Tuber,Cropland
SugarCrop,Cropland
Wheat,Cropland
biomass_grass,Pasture
biomass_tree,Pasture
